snapshot_timestamp,version,batch_id,experiment_id,test_case_id,scenario,run_id,snapshot_stage,database,record_count,pending_sync_count,restored_from_edge_count,unique_client_order_ids,duplicate_client_order_ids,database_file_size_bytes
2026-08-22T18:05:58.530,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180558530355-run1-a0386f,TC01,normal_operation,1,before_run,cloud,0,0,0,0,0,28672
2026-08-22T18:05:58.536,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180558530355-run1-a0386f,TC01,normal_operation,1,before_run,edge,0,0,0,0,0,28672
2026-08-22T18:06:10.848,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180558530355-run1-a0386f,TC01,normal_operation,1,after_run,cloud,30,0,0,30,0,36864
2026-08-22T18:06:10.875,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180558530355-run1-a0386f,TC01,normal_operation,1,after_run,edge,0,0,0,0,0,28672
2026-08-22T18:06:11.418,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180611418888-run2-3743d3,TC01,normal_operation,2,before_run,cloud,30,0,0,30,0,36864
2026-08-22T18:06:11.421,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180611418888-run2-3743d3,TC01,normal_operation,2,before_run,edge,0,0,0,0,0,28672
2026-08-22T18:06:23.340,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180611418888-run2-3743d3,TC01,normal_operation,2,after_run,cloud,60,0,0,60,0,45056
2026-08-22T18:06:23.343,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180611418888-run2-3743d3,TC01,normal_operation,2,after_run,edge,0,0,0,0,0,28672
2026-08-22T18:06:23.857,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180623857411-run3-1c69a5,TC01,normal_operation,3,before_run,cloud,60,0,0,60,0,45056
2026-08-22T18:06:23.864,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180623857411-run3-1c69a5,TC01,normal_operation,3,before_run,edge,0,0,0,0,0,28672
2026-08-22T18:06:35.827,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180623857411-run3-1c69a5,TC01,normal_operation,3,after_run,cloud,90,0,0,90,0,53248
2026-08-22T18:06:35.829,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180623857411-run3-1c69a5,TC01,normal_operation,3,after_run,edge,0,0,0,0,0,28672
2026-08-22T18:06:36.341,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180636341031-run4-347d01,TC01,normal_operation,4,before_run,cloud,90,0,0,90,0,53248
2026-08-22T18:06:36.348,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180636341031-run4-347d01,TC01,normal_operation,4,before_run,edge,0,0,0,0,0,28672
2026-08-22T18:06:49.369,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180636341031-run4-347d01,TC01,normal_operation,4,after_run,cloud,120,0,0,120,0,77824
2026-08-22T18:06:49.372,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180636341031-run4-347d01,TC01,normal_operation,4,after_run,edge,0,0,0,0,0,28672
2026-08-22T18:06:49.885,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180649884969-run5-0e79e5,TC01,normal_operation,5,before_run,cloud,120,0,0,120,0,77824
2026-08-22T18:06:49.888,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180649884969-run5-0e79e5,TC01,normal_operation,5,before_run,edge,0,0,0,0,0,28672
2026-08-22T18:07:03.123,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180649884969-run5-0e79e5,TC01,normal_operation,5,after_run,cloud,150,0,0,150,0,102400
