timestamp,test_case_id,batch_id,experiment_id,recovery_scope_records,pre_recovery_rpo_exposure_records,pre_recovery_pending_sync_count,post_recovery_rpo_exposure_records,recovery_completeness_percent,replica_convergence_percent,recovery_sync_time_seconds,records_synced_back_to_cloud,missing_from_cloud_count,duplicate_client_order_ids
2026-08-22 18:38:58,TC05,TC02-batch-20260822T180830-a18476,TC05-20260822T183858558030-6e6453,300,300,300,300.0,0.0,0.0,,,300,0
2026-08-22 18:41:19,TC06,TC02-batch-20260822T180830-a18476,TC06-20260822T183908529355-6de730,300,300,300,0.0,100.0,100.0,130.410776,300.0,0,0
2026-08-22 18:42:13,TC07,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184151255278-run1-7354ec,10,10,10,0.0,100.0,100.0,4.04296,10.0,0,0
2026-08-22 18:42:36,TC07,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184214183587-run2-408c2c,10,10,10,0.0,100.0,100.0,5.096315,10.0,0,0
2026-08-22 18:43:02,TC07,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184237197894-run3-c4c88e,10,10,10,0.0,100.0,100.0,3.69603,10.0,0,0
2026-08-22 18:43:24,TC07,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184303016055-run4-de86c9,10,10,10,0.0,100.0,100.0,3.703296,10.0,0,0
2026-08-22 18:43:49,TC07,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184325225993-run5-95a7a2,10,10,10,0.0,100.0,100.0,3.967974,10.0,0,0
2026-08-22 18:44:11,TC07,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184349680910-run6-999928,10,10,10,0.0,100.0,100.0,3.599522,10.0,0,0
2026-08-22 18:44:38,TC07,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184411764715-run7-11dd42,10,10,10,0.0,100.0,100.0,3.609785,10.0,0,0
2026-08-22 18:45:02,TC07,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184439061477-run8-9cf9e3,10,10,10,0.0,100.0,100.0,4.178211,10.0,0,0
2026-08-22 18:45:26,TC07,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184502878370-run9-27309f,10,10,10,0.0,100.0,100.0,4.278937,10.0,0,0
2026-08-22 18:45:49,TC07,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184526556295-run10-69bf45,10,10,10,0.0,100.0,100.0,3.695737,10.0,0,0
