event_timestamp,version,batch_id,experiment_id,run_id,event_number,from_state,to_state,event,duration_seconds,details
2026-08-22T18:41:51.277,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184151255278-run1-7354ec,1,1,START,NORMAL,services_verified_online,,
2026-08-22T18:41:56.306,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184151255278-run1-7354ec,1,2,NORMAL,NORMAL,cloud_failure_injected,,Logical state remains NORMAL until the first request detects the failure.
2026-08-22T18:42:02.764,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184151255278-run1-7354ec,1,3,NORMAL,EDGE_DEGRADED,failover_completed,2.329259,cloud_failure_detection=2.019966s
2026-08-22T18:42:03.687,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184151255278-run1-7354ec,1,4,EDGE_DEGRADED,RECOVERY,cloud_restoration_started,,
2026-08-22T18:42:09.647,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184151255278-run1-7354ec,1,5,RECOVERY,NORMAL,recovery_sync_verified,4.04296,recovery_completeness=100.0%; replica_convergence=100.0%
2026-08-22T18:42:14.196,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184214183587-run2-408c2c,2,1,START,NORMAL,services_verified_online,,
2026-08-22T18:42:18.703,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184214183587-run2-408c2c,2,2,NORMAL,NORMAL,cloud_failure_injected,,Logical state remains NORMAL until the first request detects the failure.
2026-08-22T18:42:24.798,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184214183587-run2-408c2c,2,3,NORMAL,EDGE_DEGRADED,failover_completed,2.281124,cloud_failure_detection=2.014595s
2026-08-22T18:42:25.697,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184214183587-run2-408c2c,2,4,EDGE_DEGRADED,RECOVERY,cloud_restoration_started,,
2026-08-22T18:42:32.669,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184214183587-run2-408c2c,2,5,RECOVERY,NORMAL,recovery_sync_verified,5.096315,recovery_completeness=100.0%; replica_convergence=100.0%
2026-08-22T18:42:37.214,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184237197894-run3-c4c88e,3,1,START,NORMAL,services_verified_online,,
2026-08-22T18:42:41.797,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184237197894-run3-c4c88e,3,2,NORMAL,NORMAL,cloud_failure_injected,,Logical state remains NORMAL until the first request detects the failure.
2026-08-22T18:42:52.666,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184237197894-run3-c4c88e,3,3,NORMAL,EDGE_DEGRADED,failover_completed,2.20656,cloud_failure_detection=2.013448s
2026-08-22T18:42:53.539,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184237197894-run3-c4c88e,3,4,EDGE_DEGRADED,RECOVERY,cloud_restoration_started,,
2026-08-22T18:42:58.460,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184237197894-run3-c4c88e,3,5,RECOVERY,NORMAL,recovery_sync_verified,3.69603,recovery_completeness=100.0%; replica_convergence=100.0%
2026-08-22T18:43:03.049,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184303016055-run4-de86c9,4,1,START,NORMAL,services_verified_online,,
2026-08-22T18:43:07.672,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184303016055-run4-de86c9,4,2,NORMAL,NORMAL,cloud_failure_injected,,Logical state remains NORMAL until the first request detects the failure.
2026-08-22T18:43:13.724,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184303016055-run4-de86c9,4,3,NORMAL,EDGE_DEGRADED,failover_completed,2.231966,cloud_failure_detection=1.998647s
2026-08-22T18:43:14.626,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184303016055-run4-de86c9,4,4,EDGE_DEGRADED,RECOVERY,cloud_restoration_started,,
2026-08-22T18:43:20.200,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184303016055-run4-de86c9,4,5,RECOVERY,NORMAL,recovery_sync_verified,3.703296,recovery_completeness=100.0%; replica_convergence=100.0%
2026-08-22T18:43:25.240,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184325225993-run5-95a7a2,5,1,START,NORMAL,services_verified_online,,
2026-08-22T18:43:31.875,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184325225993-run5-95a7a2,5,2,NORMAL,NORMAL,cloud_failure_injected,,Logical state remains NORMAL until the first request detects the failure.
2026-08-22T18:43:38.405,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184325225993-run5-95a7a2,5,3,NORMAL,EDGE_DEGRADED,failover_completed,2.366843,cloud_failure_detection=2.014232s
2026-08-22T18:43:39.293,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184325225993-run5-95a7a2,5,4,EDGE_DEGRADED,RECOVERY,cloud_restoration_started,,
2026-08-22T18:43:44.477,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184325225993-run5-95a7a2,5,5,RECOVERY,NORMAL,recovery_sync_verified,3.967974,recovery_completeness=100.0%; replica_convergence=100.0%
2026-08-22T18:43:49.702,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184349680910-run6-999928,6,1,START,NORMAL,services_verified_online,,
2026-08-22T18:43:54.547,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184349680910-run6-999928,6,2,NORMAL,NORMAL,cloud_failure_injected,,Logical state remains NORMAL until the first request detects the failure.
2026-08-22T18:44:00.645,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184349680910-run6-999928,6,3,NORMAL,EDGE_DEGRADED,failover_completed,2.218287,cloud_failure_detection=2.013912s
2026-08-22T18:44:01.531,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184349680910-run6-999928,6,4,EDGE_DEGRADED,RECOVERY,cloud_restoration_started,,
2026-08-22T18:44:07.044,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184349680910-run6-999928,6,5,RECOVERY,NORMAL,recovery_sync_verified,3.599522,recovery_completeness=100.0%; replica_convergence=100.0%
2026-08-22T18:44:11.782,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184411764715-run7-11dd42,7,1,START,NORMAL,services_verified_online,,
2026-08-22T18:44:21.313,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184411764715-run7-11dd42,7,2,NORMAL,NORMAL,cloud_failure_injected,,Logical state remains NORMAL until the first request detects the failure.
2026-08-22T18:44:28.527,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184411764715-run7-11dd42,7,3,NORMAL,EDGE_DEGRADED,failover_completed,3.369966,cloud_failure_detection=2.011789s
2026-08-22T18:44:29.459,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184411764715-run7-11dd42,7,4,EDGE_DEGRADED,RECOVERY,cloud_restoration_started,,
2026-08-22T18:44:34.303,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184411764715-run7-11dd42,7,5,RECOVERY,NORMAL,recovery_sync_verified,3.609785,recovery_completeness=100.0%; replica_convergence=100.0%
2026-08-22T18:44:39.094,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184439061477-run8-9cf9e3,8,1,START,NORMAL,services_verified_online,,
2026-08-22T18:44:44.358,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184439061477-run8-9cf9e3,8,2,NORMAL,NORMAL,cloud_failure_injected,,Logical state remains NORMAL until the first request detects the failure.
2026-08-22T18:44:50.949,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184439061477-run8-9cf9e3,8,3,NORMAL,EDGE_DEGRADED,failover_completed,2.295634,cloud_failure_detection=1.999295s
2026-08-22T18:44:51.856,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184439061477-run8-9cf9e3,8,4,EDGE_DEGRADED,RECOVERY,cloud_restoration_started,,
2026-08-22T18:44:57.936,4.1,TC07-batch-20260822T184151-4d9be0,TC07-20260822T184439061477-run8-9cf9e3,8,5,RECOVERY,NORMAL,recovery_sync_verified,4.178211,recovery_completeness=100.0%; replica_convergence=100.0%
